"","updown","sma.10","RSI","fastK","fastD","larry.williams","ad","cci","mom","macd","wma"
"78",1,59578,66.8738997168718,1,0.652596784370981,0,-1240,83.1969740574765,1700,0.623316939795848,59777.0909090909
"79",1,59778,68.1936766596686,1,0.662371220461207,0,880,74.7745181809551,2000,0.901995975144931,60217.4545454545
"80",1,60270,74.2687024937996,1,0.696957686626621,0,2480,97.4663628472222,4920,1.31971581810217,60912.3636363636
"81",-1,60658,67.7943251751793,0.865671641791045,0.721148613181963,0.134328358208955,1760,86.4546917485156,3880,1.53342497426119,61386.9090909091
"82",1,60958,68.305978450201,0.888059701492537,0.723567148776243,0.111940298507463,1880,83.8658757033378,3000,1.69700104190671,61812.7272727273
"86",-1,62472,62.5042249015658,0.705555555555556,0.907454800053688,0.294444444444444,1020,64.77428334119,2720,1.83106682854013,62792.7272727273
"87",-1,62724,62.2488011929103,0.431578947368421,0.85061269479053,0.568421052631579,240,65.6410256410251,2520,1.75942643071099,62801.4545454545
"89",-1,62822,57.0665229121646,0,0.68311269479053,1,-300,39.0939910840601,160,1.55752562417224,62646.9090909091
"90",1,62762,64.6881036568888,1,0.68311269479053,0,540,54.1570668714613,-600,1.54923945893088,62679.2727272727
"92",1,62814,68.0250870805988,1,0.707739560462172,0,1740,52.7675187679524,400,1.53881103540832,62836.3636363636
"93",1,62944,74.1355744893121,1,0.718933590312918,0,2640,96.3211723401002,1300,1.64634619505186,63106.5454545455
"94",-1,62956,57.9910736782639,0.448598130841121,0.675200247503494,0.551401869158878,1260,55.0326595689956,120,1.56095255906632,63138.5454545455
"95",1,62986,59.4864358954593,0.532710280373832,0.644344291413893,0.467289719626168,1440,76.6990291262132,300,1.49898010259248,63201.0909090909
"96",1,63134,65.0204088502787,0.869158878504673,0.660704623708805,0.130841121495327,2460,96.6823606700968,1480,1.52435268744204,63389.0909090909
"97",1,63358,69.7405437875497,1,0.717546728971963,0,5040,133.254716981132,2240,1.61962922104686,63684.7272727273
"98",-1,63366,48.5103616679235,0.169230769230769,0.70196980589504,0.830769230769231,2880,-33.4388712992286,80,1.40271501840428,63546.9090909091
"99",1,63538,57.107657394176,0.592592592592593,0.761229065154299,0.407407407407407,4640,27.2688257238133,1720,1.37841558683962,63640.3636363636
"100",-1,63468,46.4665453232617,0,0.661229065154299,1,2980,-60.8434521477994,-700,1.1441417827263,63415.2727272727
"101",1,63468,50.9643733388935,0.284552845528455,0.589684349707144,0.715447154471545,3680,-68.6472454571675,0,1.03606801825242,63330.1818181818
"102",-1,63368,47.1884434036245,0.040650406504065,0.493749390357551,0.959349593495935,3080,-123.747509886123,-1000,0.863685480224552,63136
